stations;Id_bss;code_stations;date;Vigilance;Alerte;Alerte renforcee;Crise
PZ4 AVAL CET;BSS004NBZY;BSS004NBZY/X;Avril;169.52;168.9;168.58;168.31
PZ4 AVAL CET;BSS004NBZY;BSS004NBZY/X;Mai;169.51;168.88;168.56;168.29
PZ4 AVAL CET;BSS004NBZY;BSS004NBZY/X;Juin;169.5;168.87;168.54;168.27
PZ4 AVAL CET;BSS004NBZY;BSS004NBZY/X;Juillet;169.48;168.85;168.52;168.25
PZ4 AVAL CET;BSS004NBZY;BSS004NBZY/X;Août;169.47;168.83;168.5;168.23
PZ4 AVAL CET;BSS004NBZY;BSS004NBZY/X;Septembre;169.46;168.82;168.48;168.21
PZ4 AVAL CET;BSS004NBZY;BSS004NBZY/X;Octobre;169.46;168.79;168.44;168.15
PZ4 AVAL CET;BSS004NBZY;BSS004NBZY/X;Novembre;169.45;168.77;168.41;168.11
PZ4 AVAL CET;BSS004NBZY;BSS004NBZY/X;Décembre;169.44;168.76;168.41;168.11
PUITS - AEP (GRANE - BRGM 26) - BSH;BSS001ZWVW;08423X0067/PZ;Janvier;140.24;139.87;139.68;139.53
PUITS - AEP (GRANE - BRGM 26) - BSH;BSS001ZWVW;08423X0067/PZ;Février;140.18;139.85;139.68;139.54
PUITS - AEP (GRANE - BRGM 26) - BSH;BSS001ZWVW;08423X0067/PZ;Mars;140.13;139.84;139.69;139.57
PUITS - AEP (GRANE - BRGM 26) - BSH;BSS001ZWVW;08423X0067/PZ;Avril;140.01;139.72;139.58;139.45
PUITS - AEP (GRANE - BRGM 26) - BSH;BSS001ZWVW;08423X0067/PZ;Mai;139.96;139.54;139.33;139.15
PUITS - AEP (GRANE - BRGM 26) - BSH;BSS001ZWVW;08423X0067/PZ;Juin;139.64;139.25;139.05;138.88
PUITS - AEP (GRANE - BRGM 26) - BSH;BSS001ZWVW;08423X0067/PZ;Juillet;139.08;138.76;138.6;138.46
PUITS - AEP (GRANE - BRGM 26) - BSH;BSS001ZWVW;08423X0067/PZ;Août;139.07;138.86;138.75;138.66
PUITS - AEP (GRANE - BRGM 26) - BSH;BSS001ZWVW;08423X0067/PZ;Septembre;139.53;139.16;138.97;138.81
PUITS - AEP (GRANE - BRGM 26) - BSH;BSS001ZWVW;08423X0067/PZ;Octobre;139.8;139.41;139.21;139.04
PUITS - AEP (GRANE - BRGM 26) - BSH;BSS001ZWVW;08423X0067/PZ;Novembre;140.23;139.77;139.53;139.33
PUITS - AEP (GRANE - BRGM 26) - BSH;BSS001ZWVW;08423X0067/PZ;Décembre;140.31;139.86;139.62;139.43
PIEZOMETRE - CHAMP CAPTANT (EURRE - BRGM 26) - BSH;BSS001ZWSA;08422X0191/F2;Janvier;152.1;151.86;151.73;151.62
PIEZOMETRE - CHAMP CAPTANT (EURRE - BRGM 26) - BSH;BSS001ZWSA;08422X0191/F2;Février;152.05;151.8;151.67;151.56
